bill_id,customer_id,billing_month,amount_due,amount_paid,payment_status,payment_date
BILL000001,CUST0001,2023-07-01,134.99,134.99,Paid,2023-07-08
BILL000002,CUST0001,2023-08-01,129.99,129.99,Paid,2023-08-07
BILL000003,CUST0001,2023-09-01,144.99,144.99,Paid,2023-09-05
BILL000004,CUST0001,2023-10-01,144.99,144.99,Paid,2023-10-04
BILL000005,CUST0001,2023-11-01,134.99,134.99,Paid,2023-11-10
BILL000006,CUST0001,2023-12-01,129.99,129.99,Paid,2023-12-05
BILL000007,CUST0001,2024-01-01,129.99,129.99,Paid,2024-01-04
BILL000008,CUST0001,2024-02-01,134.99,134.99,Paid,2024-02-10
BILL000009,CUST0001,2024-03-01,139.99,139.99,Paid,2024-03-10
BILL000010,CUST0001,2024-04-01,144.99,144.99,Paid,2024-04-04
BILL000011,CUST0001,2024-05-01,129.99,129.99,Paid,2024-05-09
BILL000012,CUST0001,2024-06-01,139.99,139.99,Paid,2024-06-06
BILL000013,CUST0001,2024-07-01,134.99,134.99,Paid,2024-07-05
BILL000014,CUST0001,2024-08-01,134.99,134.99,Paid,2024-08-05
BILL000015,CUST0001,2024-09-01,139.99,139.99,Paid,2024-09-11
BILL000016,CUST0001,2024-10-01,139.99,139.99,Paid,2024-10-03
BILL000017,CUST0001,2024-11-01,129.99,129.99,Paid,2024-11-07
BILL000018,CUST0001,2024-12-01,134.99,134.99,Paid,2024-12-07
BILL000019,CUST0001,2025-01-01,144.99,144.99,Paid,2025-01-09
BILL000020,CUST0001,2025-02-01,144.99,144.99,Paid,2025-02-11
BILL000021,CUST0001,2025-03-01,129.99,129.99,Paid,2025-03-02
BILL000022,CUST0001,2025-04-01,134.99,134.99,Paid,2025-04-11
BILL000023,CUST0001,2025-05-01,129.99,129.99,Paid,2025-05-06
BILL000024,CUST0001,2025-06-01,144.99,144.99,Paid,2025-06-08
BILL000025,CUST0001,2025-07-01,134.99,134.99,Paid,2025-07-09
BILL000026,CUST0001,2025-08-01,129.99,129.99,Paid,2025-08-05
BILL000027,CUST0001,2025-09-01,139.99,139.99,Paid,2025-09-07
BILL000028,CUST0001,2025-10-01,134.99,134.99,Paid,2025-10-11
BILL000029,CUST0001,2025-11-01,144.99,144.99,Paid,2025-11-04
BILL000030,CUST0001,2025-12-01,129.99,129.99,Paid,2025-12-03
BILL000031,CUST0001,2026-01-01,144.99,144.99,Paid,2026-01-05
BILL000032,CUST0001,2026-02-01,134.99,134.99,Paid,2026-02-02
BILL000033,CUST0001,2026-03-01,134.99,134.99,Paid,2026-03-10
BILL000034,CUST0001,2026-04-01,129.99,129.99,Paid,2026-04-10
BILL000035,CUST0001,2026-05-01,144.99,144.99,Late,2026-05-19
BILL000036,CUST0001,2026-06-01,134.99,134.99,Paid,2026-06-02
BILL000037,CUST0002,2024-08-01,44.99,18.15,Partial,2024-08-10
BILL000038,CUST0002,2024-09-01,44.99,44.99,Paid,2024-09-06
BILL000039,CUST0002,2024-10-01,54.99,54.99,Late,2024-10-21
BILL000040,CUST0002,2024-11-01,59.99,59.99,Late,2024-11-19
BILL000041,CUST0002,2024-12-01,59.99,59.99,Paid,2024-12-09
BILL000042,CUST0002,2025-01-01,49.99,49.99,Paid,2025-01-10
BILL000043,CUST0002,2025-02-01,49.99,49.99,Paid,2025-02-08
BILL000044,CUST0002,2025-03-01,54.99,23.43,Partial,2025-03-14
BILL000045,CUST0002,2025-04-01,49.99,49.99,Late,2025-04-19
BILL000046,CUST0002,2025-05-01,59.99,59.99,Paid,2025-05-04
BILL000047,CUST0002,2025-06-01,54.99,0.0,Unpaid,
BILL000048,CUST0002,2025-07-01,54.99,54.99,Paid,2025-07-04
BILL000049,CUST0002,2025-08-01,54.99,35.28,Partial,2025-08-07
BILL000050,CUST0002,2025-09-01,49.99,49.99,Paid,2025-09-04
BILL000051,CUST0002,2025-10-01,44.99,44.99,Paid,2025-10-02
BILL000052,CUST0002,2025-11-01,49.99,0.0,Unpaid,
BILL000053,CUST0002,2025-12-01,59.99,59.99,Paid,2025-12-03
BILL000054,CUST0002,2026-01-01,49.99,49.99,Paid,2026-01-08
BILL000055,CUST0002,2026-02-01,44.99,44.99,Paid,2026-02-04
BILL000056,CUST0002,2026-03-01,49.99,49.99,Paid,2026-03-09
BILL000057,CUST0002,2026-04-01,49.99,49.99,Late,2026-04-17
BILL000058,CUST0002,2026-05-01,54.99,0.0,Unpaid,
BILL000059,CUST0002,2026-06-01,49.99,49.99,Paid,2026-06-04
BILL000060,CUST0003,2023-07-01,169.99,169.99,Paid,2023-07-08
BILL000061,CUST0003,2023-08-01,169.99,169.99,Late,2023-08-26
BILL000062,CUST0003,2023-09-01,179.99,179.99,Paid,2023-09-11
BILL000063,CUST0003,2023-10-01,174.99,174.99,Paid,2023-10-10
BILL000064,CUST0003,2023-11-01,179.99,179.99,Paid,2023-11-03
BILL000065,CUST0003,2023-12-01,179.99,179.99,Paid,2023-12-08
BILL000066,CUST0003,2024-01-01,179.99,179.99,Paid,2024-01-04
BILL000067,CUST0003,2024-02-01,179.99,179.99,Paid,2024-02-10
BILL000068,CUST0003,2024-03-01,169.99,169.99,Paid,2024-03-10
BILL000069,CUST0003,2024-04-01,174.99,174.99,Paid,2024-04-10
BILL000070,CUST0003,2024-05-01,184.99,184.99,Paid,2024-05-05
BILL000071,CUST0003,2024-06-01,174.99,174.99,Paid,2024-06-10
BILL000072,CUST0003,2024-07-01,174.99,174.99,Paid,2024-07-06
BILL000073,CUST0003,2024-08-01,169.99,169.99,Paid,2024-08-02
BILL000074,CUST0003,2024-09-01,184.99,184.99,Paid,2024-09-06
BILL000075,CUST0003,2024-10-01,184.99,184.99,Paid,2024-10-06
BILL000076,CUST0003,2024-11-01,174.99,174.99,Paid,2024-11-06
BILL000077,CUST0003,2024-12-01,179.99,179.99,Paid,2024-12-03
BILL000078,CUST0003,2025-01-01,174.99,174.99,Paid,2025-01-08
BILL000079,CUST0003,2025-02-01,174.99,174.99,Paid,2025-02-06
BILL000080,CUST0003,2025-03-01,169.99,169.99,Paid,2025-03-06
BILL000081,CUST0003,2025-04-01,174.99,174.99,Paid,2025-04-10
BILL000082,CUST0003,2025-05-01,174.99,174.99,Paid,2025-05-03
BILL000083,CUST0003,2025-06-01,169.99,169.99,Paid,2025-06-02
BILL000084,CUST0003,2025-07-01,174.99,174.99,Paid,2025-07-08
BILL000085,CUST0003,2025-08-01,174.99,174.99,Paid,2025-08-11
BILL000086,CUST0003,2025-09-01,179.99,179.99,Paid,2025-09-11
BILL000087,CUST0003,2025-10-01,174.99,174.99,Paid,2025-10-08
BILL000088,CUST0003,2025-11-01,184.99,184.99,Paid,2025-11-02
BILL000089,CUST0003,2025-12-01,174.99,174.99,Paid,2025-12-03
BILL000090,CUST0003,2026-01-01,179.99,179.99,Paid,2026-01-05
BILL000091,CUST0003,2026-02-01,174.99,174.99,Paid,2026-02-06
BILL000092,CUST0003,2026-03-01,174.99,174.99,Late,2026-03-23
BILL000093,CUST0003,2026-04-01,184.99,184.99,Paid,2026-04-02
BILL000094,CUST0003,2026-05-01,184.99,184.99,Paid,2026-05-09
BILL000095,CUST0003,2026-06-01,184.99,184.99,Paid,2026-06-08
BILL000096,CUST0004,2023-07-01,194.99,194.99,Paid,2023-07-10
BILL000097,CUST0004,2023-08-01,204.99,204.99,Paid,2023-08-04
BILL000098,CUST0004,2023-09-01,194.99,194.99,Paid,2023-09-04
BILL000099,CUST0004,2023-10-01,194.99,194.99,Paid,2023-10-08
BILL000100,CUST0004,2023-11-01,194.99,194.99,Paid,2023-11-11
BILL000101,CUST0004,2023-12-01,194.99,194.99,Paid,2023-12-05
BILL000102,CUST0004,2024-01-01,194.99,194.99,Paid,2024-01-10
BILL000103,CUST0004,2024-02-01,194.99,194.99,Paid,2024-02-07
BILL000104,CUST0004,2024-03-01,199.99,199.99,Paid,2024-03-02
BILL000105,CUST0004,2024-04-01,189.99,189.99,Paid,2024-04-05
BILL000106,CUST0004,2024-05-01,194.99,194.99,Paid,2024-05-05
BILL000107,CUST0004,2024-06-01,199.99,199.99,Paid,2024-06-08
BILL000108,CUST0004,2024-07-01,194.99,194.99,Paid,2024-07-06
BILL000109,CUST0004,2024-08-01,204.99,204.99,Paid,2024-08-03
BILL000110,CUST0004,2024-09-01,199.99,199.99,Paid,2024-09-10
BILL000111,CUST0004,2024-10-01,204.99,204.99,Paid,2024-10-10
BILL000112,CUST0004,2024-11-01,194.99,194.99,Paid,2024-11-10
BILL000113,CUST0004,2024-12-01,199.99,199.99,Paid,2024-12-08
BILL000114,CUST0004,2025-01-01,194.99,194.99,Paid,2025-01-03
BILL000115,CUST0004,2025-02-01,189.99,189.99,Paid,2025-02-02
BILL000116,CUST0004,2025-03-01,189.99,189.99,Paid,2025-03-10
BILL000117,CUST0004,2025-04-01,194.99,194.99,Paid,2025-04-07
BILL000118,CUST0004,2025-05-01,189.99,189.99,Paid,2025-05-10
BILL000119,CUST0004,2025-06-01,194.99,194.99,Paid,2025-06-07
BILL000120,CUST0004,2025-07-01,194.99,194.99,Paid,2025-07-06
BILL000121,CUST0004,2025-08-01,194.99,194.99,Paid,2025-08-09
BILL000122,CUST0004,2025-09-01,199.99,199.99,Paid,2025-09-07
BILL000123,CUST0004,2025-10-01,194.99,194.99,Paid,2025-10-05
BILL000124,CUST0004,2025-11-01,194.99,194.99,Late,2025-11-25
BILL000125,CUST0004,2025-12-01,194.99,194.99,Paid,2025-12-02
BILL000126,CUST0004,2026-01-01,194.99,194.99,Paid,2026-01-02
BILL000127,CUST0004,2026-02-01,199.99,199.99,Paid,2026-02-02
BILL000128,CUST0004,2026-03-01,204.99,204.99,Paid,2026-03-08
BILL000129,CUST0004,2026-04-01,189.99,189.99,Paid,2026-04-02
BILL000130,CUST0004,2026-05-01,189.99,189.99,Paid,2026-05-04
BILL000131,CUST0004,2026-06-01,199.99,199.99,Paid,2026-06-06
BILL000132,CUST0005,2026-01-01,74.99,74.99,Paid,2026-01-02
BILL000133,CUST0005,2026-02-01,69.99,69.99,Paid,2026-02-07
BILL000134,CUST0005,2026-03-01,69.99,69.99,Paid,2026-03-04
BILL000135,CUST0005,2026-04-01,74.99,74.99,Late,2026-04-17
BILL000136,CUST0005,2026-05-01,74.99,29.14,Partial,2026-05-07
BILL000137,CUST0005,2026-06-01,79.99,79.99,Paid,2026-06-04
BILL000138,CUST0006,2023-07-01,114.99,114.99,Paid,2023-07-03
BILL000139,CUST0006,2023-08-01,114.99,114.99,Late,2023-08-23
BILL000140,CUST0006,2023-09-01,114.99,114.99,Paid,2023-09-04
BILL000141,CUST0006,2023-10-01,114.99,114.99,Paid,2023-10-10
BILL000142,CUST0006,2023-11-01,114.99,114.99,Paid,2023-11-04
BILL000143,CUST0006,2023-12-01,109.99,109.99,Paid,2023-12-05
BILL000144,CUST0006,2024-01-01,114.99,114.99,Paid,2024-01-03
BILL000145,CUST0006,2024-02-01,114.99,114.99,Paid,2024-02-09
BILL000146,CUST0006,2024-03-01,114.99,114.99,Late,2024-03-23
BILL000147,CUST0006,2024-04-01,114.99,114.99,Late,2024-04-22
BILL000148,CUST0006,2024-05-01,124.99,124.99,Paid,2024-05-04
BILL000149,CUST0006,2024-06-01,119.99,119.99,Paid,2024-06-06
BILL000150,CUST0006,2024-07-01,114.99,114.99,Paid,2024-07-06
BILL000151,CUST0006,2024-08-01,114.99,114.99,Paid,2024-08-02
BILL000152,CUST0006,2024-09-01,124.99,124.99,Paid,2024-09-03
BILL000153,CUST0006,2024-10-01,114.99,114.99,Paid,2024-10-11
BILL000154,CUST0006,2024-11-01,124.99,124.99,Paid,2024-11-07
BILL000155,CUST0006,2024-12-01,114.99,114.99,Paid,2024-12-02
BILL000156,CUST0006,2025-01-01,109.99,109.99,Paid,2025-01-11
BILL000157,CUST0006,2025-02-01,114.99,114.99,Late,2025-02-21
BILL000158,CUST0006,2025-03-01,124.99,124.99,Paid,2025-03-10
BILL000159,CUST0006,2025-04-01,119.99,119.99,Paid,2025-04-07
BILL000160,CUST0006,2025-05-01,119.99,119.99,Paid,2025-05-10
BILL000161,CUST0006,2025-06-01,114.99,48.15,Partial,2025-06-14
BILL000162,CUST0006,2025-07-01,114.99,114.99,Paid,2025-07-02
BILL000163,CUST0006,2025-08-01,114.99,114.99,Paid,2025-08-03
BILL000164,CUST0006,2025-09-01,114.99,114.99,Paid,2025-09-09
BILL000165,CUST0006,2025-10-01,119.99,119.99,Paid,2025-10-11
BILL000166,CUST0006,2025-11-01,114.99,114.99,Paid,2025-11-06
BILL000167,CUST0006,2025-12-01,124.99,124.99,Late,2025-12-27
BILL000168,CUST0006,2026-01-01,124.99,124.99,Paid,2026-01-07
BILL000169,CUST0006,2026-02-01,124.99,124.99,Paid,2026-02-07
BILL000170,CUST0006,2026-03-01,109.99,109.99,Paid,2026-03-05
BILL000171,CUST0006,2026-04-01,109.99,109.99,Paid,2026-04-09
BILL000172,CUST0006,2026-05-01,124.99,44.04,Partial,2026-05-19
BILL000173,CUST0006,2026-06-01,114.99,114.99,Paid,2026-06-03
BILL000174,CUST0007,2023-07-01,49.99,49.99,Late,2023-07-27
BILL000175,CUST0007,2023-08-01,49.99,27.81,Partial,2023-08-11
BILL000176,CUST0007,2023-09-01,59.99,59.99,Late,2023-09-28
BILL000177,CUST0007,2023-10-01,49.99,49.99,Paid,2023-10-08
BILL000178,CUST0007,2023-11-01,54.99,0.0,Unpaid,
BILL000179,CUST0007,2023-12-01,59.99,59.99,Late,2023-12-19
BILL000180,CUST0007,2024-01-01,49.99,49.99,Paid,2024-01-07
BILL000181,CUST0007,2024-02-01,49.99,49.99,Late,2024-02-21
BILL000182,CUST0007,2024-03-01,49.99,0.0,Unpaid,
BILL000183,CUST0007,2024-04-01,49.99,49.99,Paid,2024-04-05
BILL000184,CUST0007,2024-05-01,49.99,49.99,Paid,2024-05-09
BILL000185,CUST0007,2024-06-01,59.99,59.99,Paid,2024-06-04
BILL000186,CUST0007,2024-07-01,49.99,49.99,Paid,2024-07-08
BILL000187,CUST0007,2024-08-01,49.99,49.99,Paid,2024-08-10
BILL000188,CUST0007,2024-09-01,49.99,17.65,Partial,2024-09-13
BILL000189,CUST0007,2024-10-01,59.99,41.75,Partial,2024-10-14
BILL000190,CUST0007,2024-11-01,59.99,59.99,Paid,2024-11-07
BILL000191,CUST0007,2024-12-01,49.99,49.99,Late,2024-12-28
BILL000192,CUST0007,2025-01-01,54.99,54.99,Late,2025-01-23
BILL000193,CUST0007,2025-02-01,59.99,0.0,Unpaid,
BILL000194,CUST0007,2025-03-01,59.99,59.99,Paid,2025-03-07
BILL000195,CUST0007,2025-04-01,49.99,49.99,Paid,2025-04-05
BILL000196,CUST0007,2025-05-01,49.99,49.99,Late,2025-05-22
BILL000197,CUST0007,2025-06-01,44.99,44.99,Late,2025-06-22
BILL000198,CUST0007,2025-07-01,49.99,49.99,Paid,2025-07-11
BILL000199,CUST0007,2025-08-01,44.99,44.99,Paid,2025-08-08
BILL000200,CUST0007,2025-09-01,49.99,49.99,Paid,2025-09-08
BILL000201,CUST0007,2025-10-01,49.99,49.99,Late,2025-10-27
BILL000202,CUST0007,2025-11-01,49.99,49.99,Paid,2025-11-10
BILL000203,CUST0007,2025-12-01,49.99,49.99,Paid,2025-12-09
BILL000204,CUST0007,2026-01-01,49.99,49.99,Paid,2026-01-11
BILL000205,CUST0007,2026-02-01,49.99,49.99,Paid,2026-02-03
BILL000206,CUST0007,2026-03-01,49.99,0.0,Unpaid,
BILL000207,CUST0007,2026-04-01,49.99,49.99,Paid,2026-04-05
BILL000208,CUST0007,2026-05-01,59.99,59.99,Paid,2026-05-10
BILL000209,CUST0007,2026-06-01,54.99,54.99,Paid,2026-06-06
BILL000210,CUST0008,2023-07-01,149.99,149.99,Paid,2023-07-05
BILL000211,CUST0008,2023-08-01,159.99,114.46,Partial,2023-08-17
BILL000212,CUST0008,2023-09-01,154.99,154.99,Late,2023-09-26
BILL000213,CUST0008,2023-10-01,159.99,159.99,Paid,2023-10-06
BILL000214,CUST0008,2023-11-01,149.99,149.99,Paid,2023-11-10
BILL000215,CUST0008,2023-12-01,159.99,159.99,Paid,2023-12-07
BILL000216,CUST0008,2024-01-01,149.99,149.99,Paid,2024-01-08
BILL000217,CUST0008,2024-02-01,149.99,149.99,Paid,2024-02-11
BILL000218,CUST0008,2024-03-01,144.99,144.99,Late,2024-03-29
BILL000219,CUST0008,2024-04-01,149.99,149.99,Paid,2024-04-08
BILL000220,CUST0008,2024-05-01,149.99,149.99,Paid,2024-05-11
BILL000221,CUST0008,2024-06-01,149.99,85.2,Partial,2024-06-24
