usage_id,customer_id,usage_month,internet_usage_gb,mobile_data_gb,tv_hours_watched
USG000001,CUST0001,2023-07-01,895.0,19,0
USG000002,CUST0001,2023-08-01,1208.0,12,0
USG000003,CUST0001,2023-09-01,651.0,32,0
USG000004,CUST0001,2023-10-01,920.0,73,0
USG000005,CUST0001,2023-11-01,1345.0,37,0
USG000006,CUST0001,2023-12-01,1160.0,66,0
USG000007,CUST0001,2024-01-01,865.0,75,0
USG000008,CUST0001,2024-02-01,666.0,37,0
USG000009,CUST0001,2024-03-01,837.0,8,0
USG000010,CUST0001,2024-04-01,1004.0,23,0
USG000011,CUST0001,2024-05-01,937.0,47,0
USG000012,CUST0001,2024-06-01,1193.0,78,0
USG000013,CUST0001,2024-07-01,1491.0,54,0
USG000014,CUST0001,2024-08-01,675.0,55,0
USG000015,CUST0001,2024-09-01,652.0,30,0
USG000016,CUST0001,2024-10-01,717.0,35,0
USG000017,CUST0001,2024-11-01,1382.0,35,0
USG000018,CUST0001,2024-12-01,660.0,45,0
USG000019,CUST0001,2025-01-01,911.0,30,0
USG000020,CUST0001,2025-02-01,767.0,77,0
USG000021,CUST0001,2025-03-01,856.0,72,0
USG000022,CUST0001,2025-04-01,1338.0,54,0
USG000023,CUST0001,2025-05-01,1039.0,26,0
USG000024,CUST0001,2025-06-01,1048.0,8,0
USG000025,CUST0001,2025-07-01,753.0,72,0
USG000026,CUST0001,2025-08-01,1179.0,65,0
USG000027,CUST0001,2025-09-01,1458.0,29,0
USG000028,CUST0001,2025-10-01,849.0,33,0
USG000029,CUST0001,2025-11-01,1280.0,7,0
USG000030,CUST0001,2025-12-01,1188.0,74,0
USG000031,CUST0001,2026-01-01,995.0,76,0
USG000032,CUST0001,2026-02-01,1046.0,69,0
USG000033,CUST0001,2026-03-01,1268.0,80,0
USG000034,CUST0001,2026-04-01,1002.0,78,0
USG000035,CUST0001,2026-05-01,697.0,38,0
USG000036,CUST0001,2026-06-01,1435.0,22,0
USG000037,CUST0002,2024-08-01,70.9,0,0
USG000038,CUST0002,2024-09-01,254.84,0,0
USG000039,CUST0002,2024-10-01,188.61,0,0
USG000040,CUST0002,2024-11-01,126.58,0,0
USG000041,CUST0002,2024-12-01,122.77,0,0
USG000042,CUST0002,2025-01-01,210.3,0,0
USG000043,CUST0002,2025-02-01,48.94,0,0
USG000044,CUST0002,2025-03-01,208.4,0,0
USG000045,CUST0002,2025-04-01,194.66,0,0
USG000046,CUST0002,2025-05-01,157.46,0,0
USG000047,CUST0002,2025-06-01,215.62,0,0
USG000048,CUST0002,2025-07-01,90.35,0,0
USG000049,CUST0002,2025-08-01,268.68,0,0
USG000050,CUST0002,2025-09-01,238.15,0,0
USG000051,CUST0002,2025-10-01,142.5,0,0
USG000052,CUST0002,2025-11-01,57.37,0,0
USG000053,CUST0002,2025-12-01,315.24,0,0
USG000054,CUST0002,2026-01-01,236.23,0,0
USG000055,CUST0002,2026-02-01,103.04,0,0
USG000056,CUST0002,2026-03-01,143.08,0,0
USG000057,CUST0002,2026-04-01,157.3,0,0
USG000058,CUST0002,2026-05-01,66.12,0,0
USG000059,CUST0002,2026-06-01,179.1,0,0
USG000060,CUST0003,2023-07-01,892.0,27,52
USG000061,CUST0003,2023-08-01,577.29,82,152
USG000062,CUST0003,2023-09-01,989.83,56,121
USG000063,CUST0003,2023-10-01,552.24,32,82
USG000064,CUST0003,2023-11-01,499.56,60,82
USG000065,CUST0003,2023-12-01,659.87,31,179
USG000066,CUST0003,2024-01-01,653.35,84,140
USG000067,CUST0003,2024-02-01,1024.1,76,111
USG000068,CUST0003,2024-03-01,1018.15,32,146
USG000069,CUST0003,2024-04-01,909.01,41,158
USG000070,CUST0003,2024-05-01,945.07,46,32
USG000071,CUST0003,2024-06-01,369.35,27,62
USG000072,CUST0003,2024-07-01,630.2,31,172
USG000073,CUST0003,2024-08-01,686.13,62,45
USG000074,CUST0003,2024-09-01,503.15,28,174
USG000075,CUST0003,2024-10-01,636.77,35,77
USG000076,CUST0003,2024-11-01,672.67,38,46
USG000077,CUST0003,2024-12-01,996.18,14,52
USG000078,CUST0003,2025-01-01,692.56,54,72
USG000079,CUST0003,2025-02-01,399.7,76,30
USG000080,CUST0003,2025-03-01,982.92,73,44
USG000081,CUST0003,2025-04-01,426.32,77,161
USG000082,CUST0003,2025-05-01,842.56,72,176
USG000083,CUST0003,2025-06-01,677.2,72,38
USG000084,CUST0003,2025-07-01,859.33,30,31
USG000085,CUST0003,2025-08-01,488.27,46,49
USG000086,CUST0003,2025-09-01,541.09,34,164
USG000087,CUST0003,2025-10-01,844.87,8,77
USG000088,CUST0003,2025-11-01,774.07,69,56
USG000089,CUST0003,2025-12-01,885.38,83,30
USG000090,CUST0003,2026-01-01,1073.4,27,61
USG000091,CUST0003,2026-02-01,937.89,74,58
USG000092,CUST0003,2026-03-01,697.17,58,123
USG000093,CUST0003,2026-04-01,816.47,32,165
USG000094,CUST0003,2026-05-01,1038.83,71,140
USG000095,CUST0003,2026-06-01,1036.05,39,93
USG000096,CUST0004,2023-07-01,878.0,43,0
USG000097,CUST0004,2023-08-01,865.61,79,0
USG000098,CUST0004,2023-09-01,1599.27,60,0
USG000099,CUST0004,2023-10-01,1241.97,36,0
USG000100,CUST0004,2023-11-01,740.71,38,0
USG000101,CUST0004,2023-12-01,908.77,49,0
USG000102,CUST0004,2024-01-01,1004.95,8,0
USG000103,CUST0004,2024-02-01,1661.88,41,0
USG000104,CUST0004,2024-03-01,954.28,58,0
USG000105,CUST0004,2024-04-01,1810.22,73,0
USG000106,CUST0004,2024-05-01,1392.11,75,0
USG000107,CUST0004,2024-06-01,1516.13,74,0
USG000108,CUST0004,2024-07-01,813.44,35,0
USG000109,CUST0004,2024-08-01,1070.57,76,0
USG000110,CUST0004,2024-09-01,1304.07,77,0
USG000111,CUST0004,2024-10-01,874.72,58,0
USG000112,CUST0004,2024-11-01,1494.91,53,0
USG000113,CUST0004,2024-12-01,1374.0,17,0
USG000114,CUST0004,2025-01-01,1018.11,63,0
USG000115,CUST0004,2025-02-01,1027.52,15,0
USG000116,CUST0004,2025-03-01,1372.6,43,0
USG000117,CUST0004,2025-04-01,1530.4,48,0
USG000118,CUST0004,2025-05-01,1237.72,85,0
USG000119,CUST0004,2025-06-01,1304.62,20,0
USG000120,CUST0004,2025-07-01,1544.2,63,0
USG000121,CUST0004,2025-08-01,1523.32,35,0
USG000122,CUST0004,2025-09-01,926.76,19,0
USG000123,CUST0004,2025-10-01,1141.73,8,0
USG000124,CUST0004,2025-11-01,877.68,74,0
USG000125,CUST0004,2025-12-01,1202.6,76,0
USG000126,CUST0004,2026-01-01,963.62,46,0
USG000127,CUST0004,2026-02-01,878.51,16,0
USG000128,CUST0004,2026-03-01,1781.71,41,0
USG000129,CUST0004,2026-04-01,906.56,28,0
USG000130,CUST0004,2026-05-01,919.21,61,0
USG000131,CUST0004,2026-06-01,1031.05,21,0
USG000132,CUST0005,2026-01-01,591.0,0,0
USG000133,CUST0005,2026-02-01,621.0,0,0
USG000134,CUST0005,2026-03-01,552.0,0,0
USG000135,CUST0005,2026-04-01,628.0,0,0
USG000136,CUST0005,2026-05-01,717.0,0,0
USG000137,CUST0005,2026-06-01,491.0,0,0
USG000138,CUST0006,2023-07-01,790.0,57,0
USG000139,CUST0006,2023-08-01,869.62,28,0
USG000140,CUST0006,2023-09-01,463.89,20,0
USG000141,CUST0006,2023-10-01,857.03,76,0
USG000142,CUST0006,2023-11-01,861.13,38,0
USG000143,CUST0006,2023-12-01,337.41,34,0
USG000144,CUST0006,2024-01-01,719.02,51,0
USG000145,CUST0006,2024-02-01,346.59,36,0
